foe,year,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2011,223982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2011,292247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2011,5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2011,41485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2012,588269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2012,252578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2012,583236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2012,167189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2012,101594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2012,558470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2012,236920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2012,376976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2012,645371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2012,1844360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2012,1275236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2012,232505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2012,296324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2012,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2012,44359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2013,632135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2013,265333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2013,612001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2013,165506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2013,105237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2013,597659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2013,280230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2013,392636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2013,663675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2013,1860087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2013,1325824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2013,240962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2013,304632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2013,1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2013,53689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2014,673621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2014,291341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2014,637251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2014,160699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2014,104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2014,638343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2014,231346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2014,423177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2014,691722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2014,1930632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2014,1350029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2014,255773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2014,308080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2014,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2014,57684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2015,691991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2015,309152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2015,665552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2015,169403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2015,103764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2015,689046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2015,336750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2015,447057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2015,676667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2015,2000691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2015,1367381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2015,264483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2015,289276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2015,2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2015,53537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
